Year,State,Total Population,Median Age,Household Income,Per Capita Income,Total Employed Civilians,Total Unemployed Civilians,Total People in the Military,Total Population in Poverty
2017,Delaware,943732,123.39999999999999,183884.0,93835.0,441513.0,30245.0,3016.0,111304.0
2017,District of Columbia,672391,33.9,77649.0,50832.0,357701.0,31279.0,3441.0,111025.0
2017,Florida,20278447,2901.3,3158670.0,1692820.0,9018570.0,699117.0,55075.0,3070972.0
2017,Georgia,10201635,6284.3,6879737.0,3546543.0,4606329.0,372581.0,47396.0,1679030.0
2017,Hawaii,1421658,220.3,343315.0,169653.0,671758.0,34380.0,40302.0,143148.0
2017,Idaho,1657375,1755.3,2031565.0,1026740.0,748658.0,42328.0,3676.0,236000.0
2017,Illinois,12854526,4238.0,5398899.0,2780032.0,6181653.0,491310.0,17232.0,1698613.0
2017,Indiana,6614418,3694.6,4772721.0,2375220.0,3124295.0,202199.0,2878.0,933540.0
2017,Iowa,3118102,4150.7,5290172.0,2821269.0,1599718.0,69018.0,1712.0,361343.0
2017,Kansas,2903820,4351.5,5252370.0,2752634.0,1420045.0,71009.0,18430.0,361285.0
2017,Kentucky,4424376,4885.3,4976459.0,2660661.0,1938150.0,140717.0,14705.0,783586.0
2017,Louisiana,4663461,2413.0,2729861.0,1468098.0,2031238.0,157186.0,15631.0,887574.0
2017,Maine,1330158,734.5,794893.0,444661.0,658693.0,36790.0,1859.0,166904.0
2017,Maryland,5996079,979.9,1740988.0,843067.0,3040792.0,198375.0,27902.0,566966.0
2017,Massachusetts,6789319,581.8,994430.0,538702.0,3525672.0,224856.0,4953.0,727546.0
2017,Michigan,9925568,3680.1,3945033.0,2124444.0,4524874.0,361624.0,3844.0,1510841.0
2017,Minnesota,5490726,3638.8,5005110.0,2584907.0,2904103.0,130510.0,2083.0,560995.0
2017,Mississippi,2986220,3128.6,3035535.0,1650475.0,1221828.0,117786.0,10250.0,620007.0
2017,Missouri,6075300,4747.9,5110060.0,2647241.0,2867393.0,175919.0,19345.0,861679.0
2017,Montana,1029862,2480.7,2673818.0,1517779.0,497995.0,25076.0,3317.0,144198.0
2017,Nebraska,1893921,4048.8,4829337.0,2598494.0,987216.0,38881.0,4908.0,220330.0
2017,Nevada,2887725,731.3,966603.0,479661.0,1341358.0,116285.0,7677.0,405263.0
2017,New Hampshire,1331848,442.0,649019.0,342129.0,713424.0,33566.0,1789.0,104470.0
2017,New Jersey,8960161,856.6,1618003.0,809311.0,4388024.0,328167.0,8051.0,938252.0
2017,New Mexico,2084828,1373.1,1359508.0,757911.0,879201.0,73710.0,9212.0,420293.0
2017,New York,19798228,2558.5,3615174.0,1862812.0,9467631.0,685368.0,23203.0,2908471.0
2017,North Carolina,10052564,4218.9,4455167.0,2433920.0,4571020.0,352287.0,96524.0,1579871.0
2017,North Dakota,745475,2287.0,3169186.0,1806464.0,400454.0,11085.0,6354.0,79374.0
2017,Ohio,11609756,3588.4,4553314.0,2317277.0,5488180.0,378735.0,8340.0,1683890.0
2017,Oklahoma,3896251,3026.7,3558929.0,1839346.0,1746419.0,105375.0,17249.0,612714.0
2017,Oregon,4025127,1575.6,1746090.0,954441.0,1885983.0,138139.0,2625.0,587248.0
2017,Pennsylvania,12790505,2876.4,3569886.0,1859720.0,6096977.0,422016.0,4673.0,1623537.0
2017,Puerto Rico,3468963,3113.7,1436210.0,799107.0,1040136.0,220597.0,1487.0,1543220.0
2017,Rhode Island,1056138,213.8,349532.0,191713.0,526071.0,38634.0,3315.0,136126.0
2017,South Carolina,4893444,1881.0,1937832.0,1056130.0,2181046.0,170257.0,30597.0,790657.0
2017,South Dakota,855444,2674.5,3326977.0,1797946.0,438339.0,17018.0,2666.0,114885.0
2017,Tennessee,6597381,3976.0,4086578.0,2200324.0,2996610.0,210756.0,18183.0,1072360.0
2017,Texas,27419612,9910.9,12673162.0,6314191.0,12689069.0,784888.0,91081.0,4291384.0
2017,Utah,2993941,993.0,1717054.0,708579.0,1412214.0,64314.0,4129.0,324856.0
2017,Vermont,624636,624.0,773538.0,428021.0,327264.0,14969.0,412.0,68144.0
2017,Virginia,8365952,5553.3,7483915.0,3845296.0,4084035.0,236648.0,110817.0,906838.0
2017,Washington,7169967,1631.8,2110386.0,1085725.0,3418123.0,218821.0,48875.0,859950.0
2017,West Virginia,1836843,2404.6,2293605.0,1257279.0,746958.0,57659.0,1110.0,317089.0
2017,Wisconsin,5763217,3111.6,3877158.0,2044092.0,2939880.0,145271.0,2568.0,692719.0
2017,Wyoming,583200,915.4,1358500.0,705305.0,293633.0,14459.0,2656.0,63398.0
2018,Alabama,4864680,2722.3,2802477.0,1545880.0,2076708.0,147898.0,12558.0,829400.0
2018,Alaska,738516,1072.2,1966272.0,943405.0,351152.0,28067.0,17134.0,77865.0
2018,Arizona,6946685,603.5,713185.0,351891.0,3045978.0,210214.0,18334.0,1092192.0
2018,Arkansas,2990671,3107.1,3059010.0,1683205.0,1292263.0,75774.0,4322.0,510337.0
2018,California,39148760,2297.2,3733956.0,1861198.0,18309012.0,1321502.0,127777.0,5487141.0
2018,Colorado,5531141,2719.1,3612802.0,1964506.0,2839374.0,139326.0,33612.0,590504.0
2018,Connecticut,3581504,333.6,616551.0,328170.0,1810445.0,125909.0,8489.0,348449.0
2018,Delaware,949495,124.7,190624.0,97930.0,450946.0,28501.0,3176.0,109798.0
2018,District of Columbia,684498,33.9,82604.0,53321.0,369194.0,29373.0,3173.0,109497.0
2018,Florida,20598139,2919.0,3286106.0,1771375.0,9253932.0,622978.0,54889.0,2983851.0
2018,Georgia,10297484,6317.5,7189766.0,3723292.0,4721065.0,322854.0,47213.0,1607714.0
2018,Hawaii,1422029,220.5,359677.0,177630.0,677446.0,32036.0,40045.0,137516.0
2018,Idaho,1687809,1762.5,2131025.0,1073474.0,768701.0,37672.0,4057.0,228882.0
2018,Illinois,12821497,4257.5,5593641.0,2886346.0,6225964.0,437139.0,16894.0,1635603.0
2018,Indiana,6637426,3702.8,4960135.0,2469904.0,3164414.0,180969.0,3094.0,908359.0
2018,Iowa,3132499,4146.9,5460833.0,2912145.0,1609481.0,65216.0,1642.0,353634.0
2018,Kansas,2908776,4352.0,5374208.0,2824029.0,1428660.0,65038.0,18007.0,350280.0
2018,Kentucky,4440204,4896.3,5167629.0,2774155.0,1959442.0,128358.0,14088.0,772080.0
2018,Louisiana,4663616,2422.0,2772774.0,1509253.0,2031115.0,149850.0,16076.0,878394.0
2018,Maine,1332813,740.3,824803.0,463732.0,665188.0,32203.0,1789.0,161743.0
2018,Maryland,6003435,982.7,1797377.0,877000.0,3051333.0,181089.0,29233.0,553496.0
2018,Massachusetts,6830193,583.7,1044348.0,563114.0,3570257.0,203464.0,4921.0,710305.0
2018,Michigan,9957488,3699.8,4136177.0,2231836.0,4598487.0,321008.0,3821.0,1457008.0
2018,Minnesota,5527358,3641.7,5182063.0,2681990.0,2931458.0,119218.0,2329.0,547442.0
2018,Mississippi,2988762,3151.3,3143425.0,1714371.0,1228537.0,110036.0,10767.0,599795.0
2018,Missouri,6090062,4758.9,5304367.0,2758528.0,2888094.0,155958.0,18444.0,837930.0
2018,Montana,1041732,2497.5,2753650.0,1571868.0,507249.0,22433.0,3172.0,139063.0
2018,Nebraska,1904760,4035.8,4932583.0,2654770.0,993836.0,36545.0,5229.0,213790.0
2018,Nevada,2922849,738.9,1017702.0,493581.0,1370603.0,101748.0,7931.0,393431.0
2018,New Hampshire,1343622,443.1,674382.0,355402.0,724017.0,30392.0,1830.0,102352.0
2018,New Jersey,8881845,862.5,1676802.0,844746.0,4390602.0,285084.0,8426.0,904132.0
2018,New Mexico,2092434,1370.5,1355386.0,759926.0,869551.0,67239.0,9453.0,399286.0
2018,New York,19618453,2572.8,3748805.0,1938478.0,9445023.0,602636.0,22479.0,2797985.0
2018,North Carolina,10155624,4248.5,4639168.0,2541622.0,4665822.0,312610.0,93073.0,1523949.0
2018,North Dakota,752201,2278.9,3248371.0,1837616.0,400841.0,11689.0,6074.0,79270.0
2018,Ohio,11641879,3600.4,4730053.0,2420446.0,5549577.0,343232.0,8498.0,1645986.0
2018,Oklahoma,3918137,3026.6,3656156.0,1884251.0,1761328.0,99087.0,17891.0,607810.0
2018,Oregon,4081943,1578.4,1840388.0,996844.0,1934643.0,123485.0,2907.0,565247.0
